"appearance_id","exe_number","case_number","game_id","player_id","date_sports","player_name","competition_id"
"2231978_38004","1141-2018","C.A. No.-000867-000867 - 2021",2231978,38004,"2012-07-03","Aurélien Joachim","CLQ"
"2233748_79232","1154-2017","Crl.A. No.-000167-000167 - 2021",2233748,79232,"2012-07-05","Ruslan Abyshov","ELQ"
"2234413_42792","1181-2021","SLP(C) No.-000811 - 2021",2234413,42792,"2012-07-05","Sander Puri","ELQ"
"2234418_73333","1203-2016","C.A. No.-000390-000390 - 2021",2234418,73333,"2012-07-05","Vegar Hedenstad","ELQ"
"2234421_122011","1232-2021","C.A. No.-007639-007639 - 2021",2234421,122011,"2012-07-05","Markus Henriksen","ELQ"
"2234421_146889","1233-2020","C.A. No.-007554-007554 - 2021",2234421,146889,"2012-07-05","Peter Ankersen","ELQ"
"2235539_28716","1233-2020","Crl.A. No.-001288-001288 - 2021",2235539,28716,"2012-07-05","Adi Adilovic","ELQ"
"2235539_69445","1282-2020","C.A. No.-000995-000995 - 2021",2235539,69445,"2012-07-05","Ivan Sesar","ELQ"
"2235545_19409","1316-2019","C.A. No.-006251-006251 - 2021",2235545,19409,"2012-07-05","Willem Janssen","ELQ"
"2235545_30003","1316-2019","C.A. No.-000440-000441 - 2020",2235545,30003,"2012-07-05","Wout Brama","ELQ"
"2235545_30667","1339-2018","C.A. No.-000218 - 2021",2235545,30667,"2012-07-05","Robbert Schilder","ELQ"
"2235545_34129","1339-2018","Crl.A. No.-000257-000257 - 2021",2235545,34129,"2012-07-05","Wesley Verhoek","ELQ"
"2235545_36139","1384-2021","Crl.A. No.-000462-000462 - 2019",2235545,36139,"2012-07-05","Dusan Tadic","ELQ"
"2235545_4520","1406-2018","C.A. No.-000073-000074 - 2021",2235545,4520,"2012-07-05","Peter Wisgerhof","ELQ"
"2235545_4582","1439-2020","SLP(Crl) No.-000380 - 2021",2235545,4582,"2012-07-05","Sander Boschker","ELQ"
"2235545_47740","1500-2021","C.A. No.-005819-005822 - 2021",2235545,47740,"2012-07-05","Nils Röseler","ELQ"
"2235545_59631","1579-2021","T.P.(C) No.-000062 - 2021",2235545,59631,"2012-07-05","Nacer Chadli","ELQ"
"2235545_60312","1579-2021","C.A. No.-005970-005970 - 2021",2235545,60312,"2012-07-05","Joshua John","ELQ"
"2235545_63342","1632-2018","Crl.A. No.-000422-000422 - 2021",2235545,63342,"2012-07-05","Leroy Fer","ELQ"
"2235545_63356","1677-2007","C.A. No.-000495-000495 - 2021",2235545,63356,"2012-07-05","Tim Breukers","ELQ"
"2235545_80073","1775-2021","C.A. No.-000337-000337 - 2021",2235545,80073,"2012-07-05","Glynor Plet","ELQ"
"2235545_84260","1783-2021","Crl.A. No.-001045-001045 - 2021",2235545,84260,"2012-07-05","Nicky Kuiper","ELQ"
"2235769_75109","1845-2021","C.A. No.-005720-005720 - 2021",2235769,75109,"2012-07-05","Célio Santos","ELQ"
"2235777_63496","1855-2020","W.P.(C) No.-000060 - 2019",2235777,63496,"2012-07-05","Vladimirs Kamess","ELQ"
"2234404_14940","1855-2020","Crl.A. No.-000255-000256 - 2018",2234404,14940,"2012-07-09","Razvan Rat","UKRS"
"2234404_14942","1983-2021","W.P.(C) No.-000026 - 2020",2234404,14942,"2012-07-09","Darijo Srna","UKRS"
"2234404_15033","2095-2021","W.P.(C) No.-000054 - 2021",2234404,15033,"2012-07-09","Velizar Dimitrov","UKRS"
"2234404_24000","2113-2007","W.P.(C) No.-000078 - 2021",2234404,24000,"2012-07-09","Vyacheslav Checher","UKRS"
"2234404_24633","2177-2009","SLP(C) No.-001240 - 2021",2234404,24633,"2012-07-09","Eduardo","UKRS"
"2234404_26267","2183-2019","T.P.(Crl.) No.-000017 - 2021",2234404,26267,"2012-07-09","Fernandinho","UKRS"
"2234404_27108","2201-2020","Crl.A. No.-001269-001270 - 2021",2234404,27108,"2012-07-09","Konstantinos Makridis","UKRS"
"2234404_39996","2211-2020","Crl.A. No.-000876-000876 - 2021",2234404,39996,"2012-07-09","Andriy Pyatov","UKRS"
"2234404_43308","2266-2018","C.A. No.-004750-004750 - 2011",2234404,43308,"2012-07-09","Denys Golaydo","UKRS"
"2234404_44357","2286-2021","C.A. No.-004750-004750 - 2011",2234404,44357,"2012-07-09","Oleksandr Kucher","UKRS"
